Car Name,Car Price,Car Mileage,Exterior Color,Interior Color,Drivetrain,Fuel Type,Transmission,Engine,VIN,TimeStamp,Source
2022 RAM 1500 Limited,"$69,855",801 mi.,Bright White Clearcoat,Black,Four-wheel Drive,Gasoline,8-Speed Automatic,5.7L V8 16V MPFI OHV,1C6SRFHT3NN453854,2023-04-30 10:52:45.308626,Cars.com
2023 Honda Accord Hybrid Sport,"$33,445",10 mi.,Urban Gray,Black,Front-wheel Drive,Hybrid,Automatic CVT,2.0L I4 16V GDI DOHC Hybrid,1HGCY2F57PA005190,2023-04-30 10:52:47.389010,Cars.com
2023 Honda CR-V Hybrid Sport Touring,"$39,845",10 mi.,Meteorite Gray Metallic,–,All-wheel Drive,Hybrid,Automatic CVT,2.0L I4 16V GDI DOHC Hybrid,2HKRS6H9XPH801720,2023-04-30 10:52:51.919237,Cars.com
2023 Toyota Highlander L,"$39,093",–,Wind Chill Pearl,Graphite,Front-wheel Drive,Gasoline,Automatic,2.4L I4 16V PDI DOHC Turbo,5TDKDRAHXPS032970,2023-04-30 10:52:56.101260,Cars.com
2023 GMC Canyon 4WD Elevation,"$44,320",3 mi.,Summit White,Jet Black,Four-wheel Drive,Gasoline,Automatic,Turbocharged Gas I4 2.7L/,1GTP6BEK1P1131378,2023-04-30 10:52:59.654956,Cars.com
2023 Kia Sportage X-Line,"$34,555",18 mi.,Jungle Green,Black,All-wheel Drive,Gasoline,Automatic,2.5L I4 16V PDI DOHC,5XYK6CAF0PG120297,2023-04-30 10:53:02.833201,Cars.com
2023 Mazda CX-5 2.5 S Premium,"$35,105",3 mi.,Soul Red Crystal Metallic,Parchment,All-wheel Drive,Gasoline,6-Speed Automatic,2.5L I4 16V GDI DOHC,JM3KFBDM7P0216669,2023-04-30 10:53:06.122558,Cars.com
2023 Mazda Mazda3 2.5 Turbo AWD,"$34,685",4 mi.,Machine Gray Metallic,Beige,All-wheel Drive,Gasoline,Automatic,2.5L I4 16V GDI DOHC Turbo,JM1BPBJYXP1609492,2023-04-30 10:53:08.692185,Cars.com
2023 Ford Bronco Outer Banks Advanced,"$49,475",–,Race Red,Black Onyx,Four-wheel Drive,Gasoline,10-Speed Automatic,2.7L V6 24V PDI DOHC Twin Turbo,1FMEE5DP5PLB15788,2023-04-30 10:53:11.006771,Cars.com
2023 Ford Transit-250 Base,"$48,215",9 mi.,Oxford White,Gray,Rear-wheel Drive,E85 Flex Fuel,10-Speed Automatic with Overdrive,3.5L V6 24V PDI DOHC Flexible Fuel,1FTBR1C85PKA24024,2023-04-30 10:53:13.790615,Cars.com
2023 BMW iX xDrive50,"$99,195",11 mi.,Storm Bay Metallic,Black,All-wheel Drive,Electric,Automatic,Electric,WB523CF07PCM96766,2023-04-30 10:53:17.797115,Cars.com
2023 BMW M8 Competition,"$141,995",17 mi.,Black Sapphire Metallic,Black,All-wheel Drive,Gasoline,8-Speed Automatic,4.4L V8 32V GDI DOHC Twin Turbo,WBSAE0C04PCM77906,2023-04-30 10:53:21.792061,Cars.com
2019 BMW 440 Gran Coupe i xDrive,"$34,988","29,996 mi.",Black Sapphire Metallic,Black / Dark Oyster,All-wheel Drive,Gasoline,8-Speed Automatic,3.0L I6 24V GDI DOHC Turbo,WBA4J7C50KBM74503,2023-04-30 10:53:25.708466,Cars.com
2023 BMW M5 Base,"$128,045",11 mi.,Black Sapphire Metallic,Black,All-wheel Drive,Gasoline,8-Speed Automatic,4.4L V8 32V GDI DOHC Twin Turbo,WBS83CH02PCM99997,2023-04-30 10:53:28.086988,Cars.com
2023 Hyundai Elantra N Line,"$28,665",51 mi.,Onyx Black,Black,Front-wheel Drive,Gasoline,Automatic,1.6L I4 16V GDI DOHC Turbo,KMHLR4AF5PU520447,2023-04-30 10:53:31.624537,Cars.com
2022 Maserati Ghibli Modena Q4,"$86,105",–,Nero Noctis,Tan,All-wheel Drive,Gasoline,8-Speed Automatic,3.0L V6 24V GDI DOHC Twin Turbo,ZAM57YTM6NX399974,2023-04-30 10:53:35.035492,Cars.com
2023 Nissan Titan PRO-4X,"$59,469",4 mi.,Black,Black,Four-wheel Drive,Gasoline,Automatic,5.6L V8 32V GDI DOHC,1N6AA1EDXPN100913,2023-04-30 10:53:37.790215,Cars.com
2023 Hyundai Palisade SEL,"$47,860",12 mi.,Abyss Black Pearl,Black,All-wheel Drive,Gasoline,8-Speed Automatic with SHIFTRONIC,3.8L V6 24V GDI DOHC,KM8R4DGE2PU598935,2023-04-30 10:53:41.042014,Cars.com
2023 Kia Niro Plug-In Hybrid SX Touring,"$41,785",10 mi.,Mineral Blue,Charcoal,Front-wheel Drive,Hybrid,6-Speed DCT Automatic,1.6L I4 16V GDI DOHC Hybrid,KNDCR3LF7P5073240,2023-04-30 10:53:43.506758,Cars.com
2023 Jeep Wagoneer L Series III,"$86,745",5 mi.,Metallic,Global Black,Four-wheel Drive,Gasoline,Automatic,3.0L I6 24V GDI DOHC Twin Turbo,1C4SJSDP4PS541513,2023-04-30 10:53:45.810490,Cars.com
2023 Ford F-150 Lightning LARIAT,"$87,591",1 mi.,Avalanche Gray,Black,AWD,Electric,SINGLE SPEED,Electric,1FTVW1EV9PWG03910,2023-04-30 10:53:54.638656,Cars.com
2023 Kia Telluride EX,"$44,450",26 mi.,Glacial White Pearl,Black,Front-wheel Drive,Gasoline,8-Speed Automatic,3.8L V6 24V GDI DOHC,5XYP34GC2PG358833,2023-04-30 10:53:56.582603,Cars.com
2022 Lincoln Corsair Grand Touring,"$58,200",5 mi.,White Tri-Coat,Sandstone,All-wheel Drive,Hybrid,Automatic CVT,2.5L I4 16V MPFI DOHC Hybrid,5LMTJ5DZ5NUL28619,2023-04-30 10:53:59.925231,Cars.com
2023 Lincoln Aviator Standard AWD,"$59,140",24 mi.,Infinite Black Metallic,Ebony,All-wheel Drive,Gasoline,Automatic,3.0L V6 24V GDI DOHC Twin Turbo,5LM5J6XC0PGL13209,2023-04-30 10:54:03.374727,Cars.com
2023 Ford Bronco Black Diamond,"$44,360",9 mi.,Iconic Silver Metallic,Black Onyx,Four-wheel Drive,Gasoline,7-Speed Manual,2.3L I4 16V GDI DOHC Turbo,1FMDE5BH5PLB26247,2023-04-30 10:54:07.119781,Cars.com
2022 Ford Bronco Sport Big Bend,"$31,375",37 mi.,Carbonized Gray Metallic,Ebony,Four-wheel Drive,Gasoline,8-Speed Automatic,1.5L I3 12V PDI DOHC Turbo,3FMCR9B67NRE21385,2023-04-30 10:54:10.397413,Cars.com
2023 BMW XM ,"$159,995",17 mi.,Toronto Red Metallic,Black,All-wheel Drive,Gasoline,8-Speed Automatic,4.4L V8,5YM23CS06P9R58443,2023-04-30 10:54:13.242626,Cars.com
2023 BMW M5 Base,"$132,030",10 mi.,Skyscraper Gray Metallic,Black,All-wheel Drive,Gasoline,8-Speed Automatic,4.4L V8 32V GDI DOHC Twin Turbo,WBS83CH0XPCN45883,2023-04-30 10:54:15.627582,Cars.com
2023 BMW X3 xDrive30i,"$54,595",5 mi.,Skyscraper Gray Metallic,Tacora Red,All-wheel Drive,Gasoline,8-Speed Automatic,2.0L I4 16V GDI DOHC Turbo,5UX53DP04P9R77091,2023-04-30 10:54:18.563721,Cars.com
2023 Chevrolet Traverse Premier,"$47,200",3 mi.,Summit White,Jet Black,Front-wheel Drive,Gasoline,9-Speed Automatic,3.6L V6 24V GDI DOHC,1GNERKKW0PJ235051,2023-04-30 10:54:22.254096,Cars.com
2023 Chevrolet Camaro 2SS,"$53,545",1 mi.,Riverside Blue Metallic,Medium Ash Gray,Rear-wheel Drive,Gasoline,Automatic,6.2L V8 16V GDI OHV,1G1FH3D75P0140673,2023-04-30 10:54:25.537395,Cars.com
2023 Nissan Frontier PRO-4X,"$47,351",50 mi.,Boulder Gray Pearl,Steel,Four-wheel Drive,Gasoline,Automatic,3.8L V6 24V GDI DOHC,1N6ED1EK9PN617224,2023-04-30 10:54:28.625927,Cars.com
2022 Ford Explorer Timberline,"$48,300","4,043 mi.",Agate Black Metallic,Deep Cypress,Four-wheel Drive,Gasoline,10-Speed Automatic,2.3L I4 16V GDI DOHC Turbo,1FMSK8JH0NGC15362,2023-04-30 10:54:31.377121,Cars.com
2023 Toyota 4Runner TRD Off Road Premium,"$51,671",5 mi.,Magnetic Gray Metallic,Black / Graphite,Four-wheel Drive,Gasoline,Automatic,4.0L V6 24V MPFI DOHC,JTERU5JR4P6132848,2023-04-30 10:54:34.128924,Cars.com
2023 Kia Telluride EX,"$46,375",5 mi.,Ebony Black,Black,All-wheel Drive,Gasoline,8-Speed Automatic,3.8L V6 24V GDI DOHC,5XYP3DGC7PG381816,2023-04-30 10:54:36.629115,Cars.com
2023 Jeep Grand Cherokee L Limited,"$49,145",11 mi.,Diamond Black,Global Black,Four-wheel Drive,Gasoline,Automatic,3.6L V6 24V MPFI DOHC,1C4RJKBG9P8834709,2023-04-30 10:54:39.378174,Cars.com
2022 RAM 2500 Tradesman,"$52,045",0 mi.,Billet Silver Metallic Clearcoat,Black,Four-wheel Drive,Gasoline,Automatic,6.4L V8 16V MPFI OHV,3C6UR5HJ6NG351717,2023-04-30 10:54:42.277876,Cars.com
2023 Ford Bronco ,"$48,020",–,Oxford White,Gray / Black,Four-wheel Drive,Gasoline,OTHER,2.3L I4 16V GDI DOHC Turbo,1FMDE5BH8PLB15159,2023-04-30 10:54:45.608656,Cars.com
2022 Lincoln Navigator L Black Label,"$119,600",17 mi.,Chroma Crystal Blue Metallic,Alpine,Four-wheel Drive,Gasoline,Automatic,3.5L V6 24V PDI DOHC Twin Turbo,5LMJJ3TT5NEL13914,2023-04-30 10:54:49.134449,Cars.com
2023 Chevrolet Trailblazer LS,"$23,545",5 mi.,Sterling Gray Metallic,Jet Black,Front-wheel Drive,Gasoline,Automatic,1.2L I3 12V GDI DOHC Turbo,KL79MMS20PB123911,2023-04-30 10:54:52.331876,Cars.com
2021 Honda Odyssey LX,"$33,015","97,671 mi.",Silver Metallic,–,Front-wheel Drive,Gasoline,10-Speed Automatic,3.5L V6 24V GDI SOHC,5FNRL6H2XMB033327,2023-04-30 10:55:02.272461,Cars.com
2023 Honda Passport TrailSport,"$45,290",8 mi.,Radiant Red Metallic,Black,All-wheel Drive,Gasoline,9-Speed Automatic,3.5L V6 24V GDI SOHC,5FNYF8H63PB004757,2023-04-30 10:55:04.923125,Cars.com
2023 Jeep Grand Cherokee L Laredo,"$43,295",11 mi.,Silver Zynith,Black,Four-wheel Drive,Gasoline,8-Speed Automatic,3.6L V6 24V MPFI DOHC,1C4RJKAG5P8798339,2023-04-30 10:55:08.242002,Cars.com
2023 Nissan Pathfinder Platinum,"$51,124",1 mi.,Brilliant Silver Metallic,Charcoal,Four-wheel Drive,Gasoline,Automatic,3.5L V6 24V GDI DOHC,5N1DR3DK3PC222945,2023-04-30 10:55:10.659040,Cars.com
2023 Chevrolet Suburban Premier,"$86,315",56 mi.,Midnight Blue Metallic,Jet Black,Four-wheel Drive,Gasoline,10-Speed Automatic with Overdrive,6.2L V8 16V GDI OHV,1GNSKFKL6PR314651,2023-04-30 10:55:12.985937,Cars.com
2023 Mercedes-Benz AMG CLA 45 Base 4MATIC,"$69,525",2 mi.,–,Black,All-wheel Drive,Gasoline,Automatic,2.0L I4 16V PDI DOHC Turbo,W1K5J5DBXPN390166,2023-04-30 10:55:16.928265,Cars.com
2023 GMC Sierra 2500 SLE,"$71,120",5 mi.,Summit White,Jet Black,Four-wheel Drive,Diesel,Automatic,"Duramax 6.6L V-8 diesel direct injection, intercooled turbo, die",1GT49MEY0PF260628,2023-04-30 10:55:19.978920,Cars.com
2024 BMW X7 xDrive40i,"$90,195",10 mi.,Mineral White Metallic,Cognac,All-wheel Drive,Gasoline,8-Speed Automatic,3.0L I6 24V DOHC,5UX23EM0XR9S16811,2023-04-30 10:55:23.851429,Cars.com
2023 Cadillac CT4 Premium Luxury,"$43,360","3,084 mi.",Black Raven,Jet Black with Jet Black accents,Rear-wheel Drive,Gasoline,Automatic,Turbocharged I4 2.0L/,1G6DF5RK0P0112912,2023-04-30 10:55:27.058435,Cars.com
2023 Chevrolet Colorado 4WD Trail Boss,"$42,610",0 mi.,Sand Dune Metallic,Jet Black,Four-wheel Drive,Gasoline,Automatic,Turbocharged Gas I4 2.7L/,1GCPTEEK1P1137773,2023-04-30 10:55:29.915063,Cars.com
2023 Nissan Altima 2.0 SR,"$33,998",4 mi.,White,Sport,Front-wheel Drive,Gasoline,Automatic CVT,2.0L I4 16V PDI DOHC Turbo,1N4AL4CV8PN317621,2023-04-30 10:55:32.661645,Cars.com
2023 Chevrolet Colorado WT,"$36,945",1 mi.,Glacier Blue Metallic,Jet Black,Four-wheel Drive,Gasoline,8-Speed Automatic,2.7L I4 16V GDI DOHC Turbo,1GCPTBEK3P1141791,2023-04-30 10:55:36.427791,Cars.com
2023 Ford Mustang Mach 1,"$61,295",6 mi.,Eruption Green Metallic,Ebony,Rear-wheel Drive,Gasoline,10-Speed Automatic,5.0L V8 32V PDI DOHC,1FA6P8R08P5500319,2023-04-30 10:55:39.427814,Cars.com
2024 GMC Sierra 2500 Denali,"$88,299",–,White Frost Tri-Coat,Jet Black,Four-wheel Drive,Gasoline,–,8 Cylinder,1GT49REY4RF132666,2023-04-30 10:55:41.649436,Cars.com
2022 Ford Mustang GT Premium,"$48,520",4 mi.,Shadow Black,Ebony,Rear-wheel Drive,Gasoline,10-Speed Automatic,5.0L V8 32V PDI DOHC,1FA6P8CF1N5147433,2023-04-30 10:55:45.454471,Cars.com
2023 Ford F-250 XLT,"$65,860",5 mi.,Rapid Red Metallic Tinted Clearcoat,Medium Dark Slate,Four-wheel Drive,Gasoline,10-Speed Automatic,7.3L V8 16V MPFI OHV,1FT8W2BN5PEC69596,2023-04-30 10:55:48.547218,Cars.com
2023 Toyota 4Runner TRD Off Road Premium,"$48,442",–,Midnight Black Metallic,Black / Graphite,Four-wheel Drive,Gasoline,Automatic,4.0L V6 24V MPFI DOHC,JTERU5JRXP6141456,2023-04-30 10:55:52.707602,Cars.com
2022 RAM 2500 Laramie,"$80,855",91 mi.,Diamond Black,Black,Four-wheel Drive,Diesel,Automatic,6.7L I6 24V DDI OHV Turbo Diesel,3C6UR5FL4NG393534,2023-04-30 10:55:55.393418,Cars.com
2022 RAM 2500 Big Horn,"$89,385",22 mi.,Bright White Clearcoat,Black,Four-wheel Drive,Diesel,Automatic,6.7L I6 24V DDI OHV Turbo Diesel,3C6UR5DL0NG204316,2023-04-30 10:55:57.808908,Cars.com
2022 Dodge Charger SXT,"$29,130","1,018 mi.",F8 Green,Black,Rear-wheel Drive,Gasoline,8-Speed Automatic,3.6L V6 24V MPFI DOHC,2C3CDXBG2NH235351,2023-04-30 10:56:01.291010,Cars.com
2023 Kia Seltos EX,"$28,140",16 mi.,Ocean Blue,–,All-wheel Drive,Gasoline,IVT,2.0L I4 16V MPFI DOHC,KNDERCAA8P7458858,2023-04-30 10:56:08.425613,Cars.com
2019 Ford Expedition Max Platinum,"$45,000","71,223 mi.",Black,Ebony,Four-wheel Drive,Gasoline,10-Speed Automatic,3.5L V6 24V GDI DOHC Twin Turbo,1FMJK1MTXKEA39771,2023-04-30 10:56:12.231318,Cars.com
2023 Toyota Highlander XSE,"$49,333",–,Wind Chill Pearl,Black,All-wheel Drive,Gasoline,Automatic,2.4L I4 16V PDI DOHC Turbo,5TDKDRBH3PS026572,2023-04-30 10:56:15.807964,Cars.com
2023 Kia Telluride EX,"$44,645",16 mi.,Ebony Black,Gray,Front-wheel Drive,Gasoline,8-Speed Automatic,3.8L V6 24V GDI DOHC,5XYP34GC5PG390045,2023-04-30 10:56:18.187511,Cars.com
2023 Chevrolet Camaro ZL1,"$74,065",3 mi.,Summit White,Jet Black,Rear-wheel Drive,Gasoline,10-Speed Automatic,6.2L V8 16V GDI OHV Supercharged,1G1FK1R62P0131452,2023-04-30 10:56:21.339044,Cars.com
2023 Mazda Mazda3 2.5 S Carbon Edition,"$29,920",6 mi.,Polymetal Gray Metallic,Red,Front-wheel Drive,Gasoline,6-Speed Automatic,2.5L I4 16V GDI DOHC,JM1BPALM1P1607571,2023-04-30 10:56:24.166711,Cars.com
2023 Kia EV6 GT,"$74,325",18 mi.,Steel,Black,All-wheel Drive,Electric,Automatic,Electric,KNDC5DLE5P5090773,2023-04-30 10:56:26.742335,Cars.com
2023 Kia Carnival SX,"$44,115",3 mi.,Flare Red,Gray,Front-wheel Drive,Gasoline,Automatic,"3.5L V-6 port/direct injection, DOHC, CVVT variable valve contro",KNDNE5H38P6288599,2023-04-30 10:56:30.119728,Cars.com
2023 GMC Yukon SLT,"$77,135",5 mi.,Onyx Black,Jet Black,Four-wheel Drive,Gasoline,Automatic,"EcoTec3 5.3L V-8 gasoline direct injection, variable valve contr",1GKS2BKD5PR360230,2023-04-30 10:56:33.748215,Cars.com
2023 Jeep Grand Cherokee Limited,"$63,655",14 mi.,Bright White Clearcoat,Wicker Beige/Black,Four-wheel Drive,Gasoline,Automatic,"2L I-4 gasoline direct injection, DOHC, intercooled turbo, engin",1C4RJYB64PC588997,2023-04-30 10:56:37.861606,Cars.com
2023 Chevrolet Equinox LS,"$24,424",934 mi.,Summit White / White,Medium Ash Gray,Front-wheel Drive,Gasoline,Automatic,1.5L I4 16V GDI DOHC Turbo,3GNAXHEG6PL118448,2023-04-30 10:56:40.086309,Cars.com
2023 Genesis G70 3.3T,"$56,770",44 mi.,Alta White,Obsidian Black,All-wheel Drive,Gasoline,Automatic,3.3L V6 24V GDI DOHC Twin Turbo,KMTG54TE5PU122467,2023-04-30 10:56:42.838805,Cars.com
2023 Chevrolet Camaro 1LT,"$39,970",0 mi.,Black,Jet Black,Rear-wheel Drive,Gasoline,Automatic,Turbocharged Gas I4 2.0L/122,1G1FB3DX8P0139227,2023-04-30 10:56:46.619014,Cars.com
2023 Cadillac CT4-V Blackwing,"$75,689",5 mi.,Argent Silver Metallic,Jet Black,Rear-wheel Drive,Gasoline,Automatic,Turbocharged V6 3.6L/217,1G6DL5RP9P0410718,2023-04-30 10:56:50.672934,Cars.com
2023 Chevrolet Silverado 2500 WT,"$45,678",0 mi.,Summit White,Jet Black,Rear-wheel Drive,Gasoline,Automatic,"6.6L V-8 gasoline direct injection, variable valve control, engi",1GB2WLE71PF145333,2023-04-30 10:56:54.772269,Cars.com
2023 Ford Mustang Mach 1,"$68,230",6 mi.,Shadow Black,Ebony,Rear-wheel Drive,Gasoline,10-Speed Automatic,5.0L V8 32V PDI DOHC,1FA6P8R05P5501539,2023-04-30 10:56:57.332032,Cars.com
2023 Nissan ARIYA ENGAGE,"$44,735",12 mi.,Gun Metallic,Charcoal,Front-wheel Drive,Electric,Automatic,Electric,JN1AF0BA5PM401946,2023-04-30 10:57:00.833618,Cars.com
2023 Toyota 4Runner TRD Off Road Premium,"$48,437",–,Midnight Black Metallic,Black / Graphite,Four-wheel Drive,Gasoline,Automatic,4.0L V6 24V MPFI DOHC,JTERU5JR6P6144676,2023-04-30 10:57:04.821123,Cars.com
2023 Nissan ARIYA ENGAGE,"$44,785",12 mi.,Gun Metallic,Charcoal,Front-wheel Drive,Electric,Automatic,Electric,JN1AF0BA0PM408092,2023-04-30 10:57:07.881749,Cars.com
2023 Jeep Wagoneer L Series III,"$79,505",8 mi.,Bright White Clearcoat,Global Black,Four-wheel Drive,Gasoline,Automatic,3.0L I6 24V GDI DOHC Twin Turbo,1C4SJSDP4PS503196,2023-04-30 10:57:10.106946,Cars.com
2023 Nissan Maxima SR Xtronic CVT,"$46,105",0 mi.,Super Black,Charcoal,Front-wheel Drive,Gasoline,CVT with Xtronic,"VQ 3.5L V-6 gasoline direct injection, DOHC, CVTCS variable valv",1N4AA6EV9PC507521,2023-04-30 10:57:17.899904,Cars.com
2023 Jeep Grand Wagoneer Series II,"$94,803",36 mi.,Midnight Sky,Blue Agave,Four-wheel Drive,Gasoline,8-Speed Automatic,3.0L I6 24V GDI DOHC Twin Turbo,1C4SJVFP2PS504278,2023-04-30 10:57:20.389945,Cars.com
2023 Nissan Leaf S,"$28,360",7 mi.,Black,–,Front-wheel Drive,Electric,Automatic,Electric,1N4AZ1BV0PC557658,2023-04-30 10:57:22.548647,Cars.com
2021 Mitsubishi Mirage ES,"$15,700","11,391 mi.",Black,Black,Front-wheel Drive,Gasoline,Automatic CVT,1.2L I3 12V MPFI DOHC,ML32AUHJ9MH005153,2023-04-30 10:57:26.056252,Cars.com
2023 Kia Seltos S,"$24,851","3,867 mi.",Steel Gray,Black,All-wheel Drive,Gasoline,IVT,2.0L I4 16V MPFI DOHC,KNDEUCAA7P7405437,2023-04-30 10:57:28.888763,Cars.com
2023 Kia Seltos S,"$27,135",10 mi.,Snow White Pearl,Black,All-wheel Drive,Gasoline,IVT,2.0L I4 16V MPFI DOHC,KNDEUCAA0P7466399,2023-04-30 10:57:31.875766,Cars.com
2020 Mitsubishi Outlander SEL,"$25,299","39,942 mi.",Pearl White,Black,Four-wheel Drive,Gasoline,Automatic CVT,2.4L I4 16V MPFI SOHC,JA4AZ3A39LZ021329,2023-04-30 10:57:33.911689,Cars.com
2019 Buick Regal Sportback Preferred II,"$21,990","41,315 mi.",White Frost Tricoat,Ebony,Front-wheel Drive,Gasoline,Automatic,Turbocharged Gas I4 2.0L/122,W04GM6SX0K1040683,2023-04-30 10:57:37.730188,Cars.com
2023 Kia Stinger GT2,"$56,230",3 mi.,Ceramic Silver,red,All-wheel Drive,Gasoline,Automatic,"LAMBDA II 3.3L V-6 gasoline direct injection, DOHC, D-CVVT varia",KNAE55LC5P6135747,2023-04-30 10:57:40.881346,Cars.com
2022 GMC Sierra 2500 Denali,"$75,000","25,300 mi.",White Frost Tricoat,Jet Black,Four-wheel Drive,Diesel,Automatic,"Duramax 6.6L V-8 diesel direct injection, intercooled turbo, die",1GT49REYXNF185088,2023-04-30 10:57:44.355002,Cars.com
2023 Jeep Wrangler 4-Door High Tide 4x4,"$57,115",16 mi.,Black Clearcoat,Black,Four-wheel Drive,Gasoline,Automatic,"Pentastar 3.6L V-6 DOHC, variable valve control, engine with 285",1C4HJXDG1PW677632,2023-04-30 10:57:48.047193,Cars.com
2023 BMW 330 i xDrive,"$50,755",7 mi.,Mineral White Metallic,Beige,All-wheel Drive,Gasoline,8-Speed Automatic,2.0L I4 16V GDI DOHC Turbo,3MW89FF00P8D42662,2023-04-30 10:57:50.646698,Cars.com
2019 BMW X2 M35i,"$36,995","23,176 mi.",Alpine White,Magma Red,All-wheel Drive,Gasoline,8-Speed Automatic,2.0L I4 16V GDI DOHC Turbo,WBXYN1C55K5N78783,2023-04-30 10:57:53.019189,Cars.com
2022 Volvo XC60 B5 Momentum,"$44,995","5,962 mi.",Thunder Gray Metallic,Charcoal,All-wheel Drive,Gasoline,8-Speed Automatic,2.0L I4 16V GDI DOHC Turbo,YV4L12RK8N1972034,2023-04-30 10:57:56.009250,Cars.com
2023 Volkswagen Atlas Cross Sport 3.6 V6 SEL R-Line Black,"$51,386",81 mi.,Opal White Pearl Effect,Titan Black,All-wheel Drive,Gasoline,8-Speed Automatic,3.6L V6 24V GDI DOHC,1V2SE2CA2PC222833,2023-04-30 10:57:59.453042,Cars.com
2023 Chevrolet Colorado 4WD Trail Boss,"$42,255",0 mi.,Glacier Blue Metallic,Jet Black,Four-wheel Drive,Gasoline,Automatic,Turbocharged Gas I4 2.7L/,1GCPTEEK3P1134258,2023-04-30 10:58:02.528345,Cars.com
2023 Nissan Pathfinder SL,"$41,906",6 mi.,Scarlet Ember,Charcoal,Four-wheel Drive,Gasoline,Automatic,3.5L V6 24V GDI DOHC,5N1DR3CC1PC206818,2023-04-30 10:58:06.238268,Cars.com
2023 Jeep Wagoneer L Series III,"$79,355",29 mi.,Silver Zynith,Global Black,Four-wheel Drive,Gasoline,Automatic,3.0L I6 24V GDI DOHC Twin Turbo,1C4SJSDP8PS503198,2023-04-30 10:58:09.842225,Cars.com
2023 GMC Canyon Elevation,"$49,460",1 mi.,Dynamic Blue Metallic,Jet Black,Four-wheel Drive,Gasoline,Automatic,2.7L I4 16V GDI DOHC Turbo,1GTP6BEK9P1144041,2023-04-30 10:58:13.369193,Cars.com
2023 Chevrolet Malibu LT,"$28,385",–,Mineral Gray Metallic,Jet Black,Front-wheel Drive,Gasoline,OTHER,1.5L I4 16V GDI DOHC Turbo,1G1ZD5ST0PF112975,2023-04-30 10:58:15.381129,Cars.com
2022 Ford F-150 XLT,"$66,398","5,348 mi.",Atlas Blue Metallic,Black,Four-wheel Drive,Gasoline,–,2.7L V6 24V PDI DOHC Twin Turbo,1FTEW1EP3NKD56356,2023-04-30 10:58:21.061679,Cars.com
2023 Kia Seltos EX,"$26,995",10 mi.,Cherry Black,Black,All-wheel Drive,Gasoline,IVT,2.0L I4 16V MPFI DOHC,KNDERCAA8P7441669,2023-04-30 10:58:23.866218,Cars.com
2014 Audi S5 Premium Plus,"$23,990","76,346 mi.",Ice Silver Metallic,Black,All-wheel Drive,Gasoline,Automatic,Intercooled Supercharger Premium Unleaded V-6 3.0 L/183,WAUCGAFR5EA022742,2023-04-30 10:58:26.028041,Cars.com
2024 Mazda CX-90 Premium,"$55,070",3 mi.,Artisan Red Metallic,Beige,All-wheel Drive,Gasoline,8-Speed Automatic,2.5L,JM3KKDHA4R1108501,2023-04-30 10:58:28.873361,Cars.com
2022 Porsche Cayenne E-Hybrid Coupe Turbo S,"$175,988","5,493 mi.",Carrara White Metallic,Black,All-wheel Drive,Hybrid,8-Speed Automatic with Tiptronic,4.0L V8 32V GDI DOHC Twin Turbo Hybrid,WP1BH2AY8NDA59068,2023-04-30 10:58:32.425509,Cars.com
2023 Volvo C40 Recharge Pure Electric Twin Ultimate,"$57,710",0 mi.,Fjord Blue,Midnight Zinc,All-wheel Drive,Electric,Automatic,Electric,YV4ED3GM2P2043755,2023-04-30 10:58:35.670190,Cars.com
2023 Jeep Grand Wagoneer Series II 4x4,"$98,685",19 mi.,Bright White Clearcoat,Sea Salt/Black,Four-wheel Drive,Gasoline,Automatic,"Hurricane 3L I-6 gasoline direct injection, DOHC, variable valve",1C4SJVFP0PS514405,2023-04-30 10:58:38.351195,Cars.com
2011 Ford E250 Cargo,"$14,900","176,367 mi.",Oxford White,Gray,Rear-wheel Drive,E85 Flex Fuel,4-Speed Automatic,5.4L V8 16V MPFI SOHC Flexible Fuel,1FTNE2EL7BDB33453,2023-04-30 10:58:41.867827,Cars.com
2021 Volkswagen Atlas 3.6 V6 SE w/ Technology,"$30,996","59,992 mi.",Deep Black Pearl Effect,Titan Black,All-wheel Drive,Gasoline,8-Speed Automatic,3.6L V6 24V GDI DOHC,1V2HR2CA9MC547845,2023-04-30 10:58:45.218382,Cars.com
2023 Chevrolet Tahoe Premier,Not Priced,10 mi.,Red,–,Four-wheel Drive,Gasoline,–,5.3L V8 16V GDI OHV,1GNSKSKD5PR188431,2023-04-30 10:58:48.856952,Cars.com
2023 Volkswagen Atlas 3.6 V6 SEL R-Line Black,"$52,446",7 mi.,Platinum Gray Metallic,Titan Black,All-wheel Drive,Gasoline,8-Speed Automatic,3.6L V6 24V GDI DOHC,1V2SR2CAXPC547069,2023-04-30 10:58:52.542863,Cars.com
2022 Mitsubishi Outlander SE Launch Edition,"$32,990","13,175 mi.",Cosmic Blue Metallic,Black,Front-wheel Drive,Gasoline,Automatic CVT,2.5L I4 16V GDI DOHC,JA4J3UA80NZ029132,2023-04-30 10:58:56.275036,Cars.com
2022 Mitsubishi Outlander SEL,"$33,500","33,497 mi.",Black,–,Four-wheel Drive,Gasoline,Automatic CVT,2.5L I4 16V GDI DOHC,JA4J4VA85NZ007856,2023-04-30 10:58:59.881953,Cars.com
