Car Name,Car Price,Car Mileage,Exterior Color,Interior Color,Drivetrain,Fuel Type,Transmission,Engine,VIN,TimeStamp,Source
2022 Ford Expedition Max Limited,"$74,790",–,White Metallic,Sandstone,Four-wheel Drive,Gasoline,10-Speed Automatic,3.5L V6 24V PDI DOHC Twin Turbo,1FMJK2AT1NEA36207,2023-04-30 11:34:02.824603,Cars.com
2022 Jeep Wagoneer Series III,"$73,777","5,610 mi.",Velvet Red Pearlcoat,Global Black,Four-wheel Drive,Gasoline,8-Speed Automatic,5.7L V8 16V MPFI OHV,1C4SJVDT9NS137067,2023-04-30 11:34:05.714873,Cars.com
2022 Nissan Rogue SV,"$29,995","20,037 mi.",Brilliant Silver Metallic,Charcoal,Front-wheel Drive,Gasoline,Automatic CVT,1.5L I3 12V GDI DOHC Turbo,5N1BT3BA7NC702650,2023-04-30 11:34:08.273265,Cars.com
2023 Kia Seltos EX,"$28,235",10 mi.,Steel Gray,Black,All-wheel Drive,Gasoline,IVT,2.0L I4 16V MPFI DOHC,KNDERCAA6P7462617,2023-04-30 11:34:11.172989,Cars.com
2022 Rolls-Royce Ghost ,"$434,900",636 mi.,Black,–,All-wheel Drive,Gasoline,8-Speed Automatic,6.7L V12,SCATD6C04NU214366,2023-04-30 11:34:14.031990,Cars.com
2024 BMW X7 xDrive40i,"$91,945",11 mi.,Mineral White Metallic,Tartufo,All-wheel Drive,Gasoline,8-Speed Automatic,3.0L I6 24V DOHC,5UX23EM07R9S32903,2023-04-30 11:34:17.340239,Cars.com
2023 BMW X3 xDrive30i,"$54,595",7 mi.,Black Sapphire Metallic,Black,All-wheel Drive,Gasoline,8-Speed Automatic,2.0L I4 16V GDI DOHC Turbo,WBX57DP03PN213555,2023-04-30 11:34:19.997001,Cars.com
2023 Jeep Wagoneer Series I 4x4,"$68,335",9 mi.,Baltic Gray Metallic Clearcoat,Global Black,Four-wheel Drive,Gasoline,Automatic,"HEMI 5.7L V-8 variable valve control, engine with cylinder deact",1C4SJVAT0PS526171,2023-04-30 11:34:24.044807,Cars.com
2023 Volvo XC60 B5 Ultimate Bright Theme,"$65,760",2 mi.,Silver,Maroon Brown,All-wheel Drive,Gasoline,Automatic,2.0L I4 16V GDI DOHC Turbo,YV4L12RA4P1337595,2023-04-30 11:34:27.124839,Cars.com
2020 INFINITI QX50 Luxe,"$33,290","30,589 mi.",Mocha Almond,Wheat,All-wheel Drive,Gasoline,Automatic CVT,2.0L I4 16V PDI DOHC Turbo,3PCAJ5M33LF109027,2023-04-30 11:34:30.437418,Cars.com
